1 | 이니스프리 청보리 토너 250mL | 13,000 | 47 | 4.45 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
2 | 19' 이니스프리 한란 플루이드 | 20,000 | 23 | 4.87 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
3 | 19' 이니스프리 한란 아이크림 | 25,000 | 45 | 4.60 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
4 | 19′ 이니스프리 포레스트 올인원 에센스 (4종 택1) | 25,000 | 91 | 0.52 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
5 | [10월]이니스프리 링클 스팟 트리트먼트+오일세럼 20ml | 35,000 | 1 | 5.00 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
6 | [10th]이니스프리 그린티 씨드 세럼+수분천재키트 LUCKY BOX | 24,000 | 12 | 4.67 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
7 | 19′ 이니스프리 포레스트 포맨 그루밍 브로우 메이커 [다크 그레이] | 13,000 | 1 | 5.00 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
8 | [한정]홀리데이 브라이트뮤직노트 센티드캔들+DIY스피커키트 | 25,000 | 2 | 5.00 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
9 | 트루케어 무기자차 선크림×2개 [증정]트루케어 3종키트+선크림 20mL | 30,000 | 3 | 5.00 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
10 | 심플라벨 틴티드 모이스처라이저 | 18,000 | 6 | 4.17 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
11 | 심플라벨 립 컬러 밤 | 11,000 | 1 | 4.00 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
