1 | 4 | [이니스프리]시트팩 10+10/신제품 브라이트닝 포어라인 | 11,000 | 현대(다이너스) 5% (5만원 이상 결제시)  | 무이자할부 특별행사 (최대 6개월) | 무료배송 (일부제외) | 74 | 96.0
2 | 4 | 19 이니스프리 그린티 밸런싱 스킨 케어 2종 세트 | 32,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 103 | 98.0
3 | 4 | 이니스프리 한란 럭키박스+(증정) 미키 파우치 | 25,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 15 | 96.0
4 | 4 | 19 이니스프리 노세범 미네랄 파우더 5g | 6,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 125 | 96.0
5 | 4 | 19 이니스프리 글로우 틴트 립밤 3.5g | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 11 | 82.0
6 | 4 | 19′ 이니스프리 마이 아이섀도우(매트) 1호~40호 | 5,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 13 | 92.0
7 | 4 | 19 이니스프리 그린티 씨드 세럼 80mL | 24,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 162 | 98.0
8 | 4 | 19′ 이니스프리 화산송이 블랙헤드 아웃 밤 | 5,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 31 | 86.0
9 | 4 | 이니스프리 젤리 치크 3.7g | 10,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 49 | 92.0
10 | 4 | 19 이니스프리 청보리 토너 250mL | 13,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 87 | 94.0
11 | 4 | 19′ 이니스프리 그린티스킨포맨 150ML+그린티로션포맨 150ML | 30,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 17 | 92.0
12 | 4 | [온라인한정]19′ 이니스프리 그린티 밸런싱 스킨케어 스페셜세 | 32,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 92 | 94.0
13 | 4 | 이니스프리 비자 시카 밤 (대용량) | 32,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 58 | 96.0
14 | 4 | [한정] 19´ 수퍼 화산송이 모공 마스크 2X +[증정]모공폼 | 13,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 33 | 96.0
15 | 4 | 이니스프리 퍼펙트9 리페어 2종 기획 세트 | 68,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 20 | 92.0
16 | 4 | 19 이니스프리 납작 아이브로우 펜슬 | 3,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 207 | 96.0
17 | 4 | 이니스프리 브라이트닝 포어 세럼 30mL+스타터 세트 | 35,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/11(화) 도착예정 | null | 0 | 0.0
18 | 4 | 19 이니스프리 비비드 코튼 잉크 (13종 택1) | 9,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 3 | 80.0
19 | 4 | 19 이니스프리 리얼핏 매트 립스틱(10종 택1) | 13,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 20 | 92.0
20 | 4 | 이니스프리 스키니 꼼꼼카라 | 9,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 13 | 92.0
21 | 4 | [한정]이니스프리 비자 로션 100mL+폼클렌저 50mL+씨드 세 | 13,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 4 | 96.0
22 | 4 | [온라인한정]그린티 밸런싱 스킨100ml+로션 100ml+[한정GIFT]씨 | 19,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 38 | 92.0
23 | 4 | 이니스프리 스키니 브로우 펜슬(4호~6호) | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 3 | 80.0
